,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f121503,f72552,BISC.WAFER ISABELA LIMAO,50,1,1.99
1,f122314,f0355456,BISC.TORTINHAS TRUFA,50,1,2.99
2,f123520,f2112218,BISC.TORTINHAS DOCE DE LEITE MU-MU,50,1,2.99
3,f122312,f3832,BISC.TORTINHAS TORTA DE LIMAO,50,1,2.99
4,f118586,f72271,TORRADA ISABELA INTEGRAL,50,1,3.5
5,f122309,f23656,BISC.TORTINHAS CHOCOLATE,50,1,2.99
6,f122311,f89872,BISC.TORTINHAS MORANGO,50,1,2.99
7,f121502,f72549,BISC.WAFER ISABELA CHOCOLATE BRANCO,50,1,1.99
8,f121501,f72550,BISC.WAFER ISABELA CHOCOLATE SUICO,50,1,1.99
9,f123518,f0702221,BISC.WAFER ISABELA DOCE DE LEITE MU-MU,50,1,1.99
10,f121500,f72553,BISC.WAFER ISABELA MORANGO,50,1,1.99
11,f123225,f99117,EXT.T.ELEFANTE POTE,50,1,5.20
