,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f99721,f2731,SALAME ITALIANO FAT100G C/5UN CX30UN P/A PCT 5UN,50,1,13.99
1,f97866,f0002,QUEIJO MUSSARELA INT PC+-4KG CX+-24KG A PC+- 4KG,70,1,72.99
2,f1144,f0009,MORT BOLOGNA OURO PC 4KG CX 8KG P CX 8KG,84,1,38.99
3,f99909,f5187,LASANHA BOLONHESA UN 600G CX 6UN P/A UN 600G,50,1,13.50
4,f99911,f2707214,LASANHA CALABRESA UN 600G CX6UN P/A UN 600 G,50,1,12.99
5,f99910,f72346,LASANHA FGO C/BACON UN 600G CX6UN P/A UN 600G,50,1,12.99
6,f99205,f2313,LASANHA 4 QUEIJOS UN 600G CX 6UNP/A UN 600G,50,1,14.50
7,f99204,f7806,LASANHA BOLONHESA UN 600G CX 6UNP/A UN 600G,50,1,14.2
8,f99271,f3286,LASANHA FGO MOLHO SUGO UN 600G CX 6UNP/A UN 600G,50,1,14.2
9,f94908,f2311,SANDUICHE X-PICANHA 145G PC3UN CX18 P/A PCT 3UN,50,1,9.20
10,f94907,f3974,SANDUICHE X-FRANGO 145G PC3UN CX18 P/A PCT 3UN,50,1,9.20
11,f103466,f1108212,SANDUICHE X-CHEDDAR 145G PC3UN CX18 P/A PCT 3UN,50,1,9.20
12,f103467,f1108211,SANDUICHE X-BURGUER BBQ 145G PC3UNCX18PA PCT 3UN,50,1,8.5
13,f94906,f3972,SANDUICHE X-BACON 145G PC3UN CX18 P/A PCT 3UN,50,1,8.2
14,f96293,f1182,MARGARINA QUALY C/SAL UN 250G CX 24UN P CX 24UN,40,1,6.99
15,f99750,f7854,STEAK EMPANADO 100G CX 45UN P CX 45UN,50,1,2.99
16,f99067,f2360,STEAK EMPANADO 100G CX 45UN P CX 45UN,50,1,2.99
17,f104273,f2907211,BATATA CG 10MM PCT 400G CX 25UN P CX 25UN,50,1,7.2
18,f104043,f72685,APRESUNTADO FAT 150GR PCT5UN CX70UN PA PCT 5UN,50,1,4.99
19,f103825,f2234,FETTUCCINE BOLONHESA UN 350G CX12UN P/A UN 350G,50,1,10.5
