,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000001806125,f72191,AB SEMPRE LIVRE ESP SV C/ ABAS PROM 16UN,50,1,7.50
1,f000000000001813591,f29,AGUA SANIT DA ILHA 1l,50,1,3.99
2,f000000000001952476,f0912211,AMAC COMFORT CONC L500P400ml CUID INTENS,50,1,8.99
3,f000000000001900517,f103204,AMAC COMFORT CONCENT 500ml HYDRA SERUM,50,1,10.99
4,f000000000000152001,f2594,"AMAC COMFORT CONCENT 500ml, CUID ESSENC",50,1,10.99
5,f000000000001106002,f963,"AMAC M BIJOU P FACIL 2l, AZUL PUREZA",50,1,10.20
6,f000000000001803269,f4657,ARROZ BRANCO BURITI LF TP1 1kg,50,1,5.99
7,f000000000001815557,f1514,ARROZ PARB BURITI LF TP1 1kg,50,1,5.20
8,f000000000001934086,f72369,"BEB SUCO UVA CAMPO LARGO INTEG PET 1,35l",50,1,13.50
9,f000000000001904674,f0942,BISC TODESCHINI 360g LEITE,50,1,5.20
10,f000000000001904675,f7644,BISC TODESCHINI 360g MAIZENA,50,1,5.20
11,f000000000001804253,f547,CREME DE LEITE PIRACANJUBA TP 200g,50,1,3.50
12,f000000000000365002,f30,"DET LIQ YPE 500ml, CLEAR",50,1,2.99
13,f000000000000365003,f451,"DET LIQ YPE 500ml, COCO",50,1,2.99
14,f000000000001811456,f972,FHA TRIGO ANACONDA ESP 1kg,50,1,5.50
15,f000000000001816110,f109,FILTRO PAPEL MELITTA 103 ORIGINAL 30UN,50,1,4.50
16,f000000000001834440,f0912212,FITA ADES ADERE 12mmX50m,50,1,2.99
17,f000000000000263002,f5263,"HAV TRADICIONAL 39/40, AZUL",50,1,15.99
18,f000000000000264004,f5638,"HAV TRADICIONAL 41/42, PRETO",50,1,15.99
19,f000000000001953200,f2911213,LAVA ROUPAS LIQ BRILHANTE BCO COR 900ml,50,1,11.50
20,f000000000001834988,f0912213,VINAGRE ROSANI MACA 500ml,50,1,2.99
