,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000001806125,f72191,AB SEMPRE LIVRE ESP SV C/ ABAS PROM 16UN,50,1,7.5
1,f000000000001813591,f29,AGUA SANIT DA ILHA 1l,50,1,4.2
2,f000000000001952476,f0912211,AMAC COMFORT CONC L500P400ml CUID INTENS,50,1,8.99
3,f000000000001900517,f103204,AMAC COMFORT CONCENT 500ml HYDRA SERUM,50,1,10.99
4,f000000000000152001,f2594,"AMAC COMFORT CONCENT 500ml, CUID ESSENC",50,1,10.99
5,f000000000001106002,f963,"AMAC M BIJOU P FACIL 2l, AZUL PUREZA",50,1,10.2
6,f000000000001803269,f4657,ARROZ BRANCO BURITI LF TP1 1kg,50,1,5.99
7,f000000000001815557,f1514,ARROZ PARB BURITI LF TP1 1kg,50,1,5.2
8,f000000000001934086,f72369,"BEB SUCO UVA CAMPO LARGO INTEG PET 1,35l",50,1,13.5
9,f000000000001904674,f0942,BISC TODESCHINI 360g LEITE,50,1,6.2
10,f000000000001904675,f7644,BISC TODESCHINI 360g MAIZENA,50,1,6.2
11,f000000000001804253,f547,CREME DE LEITE PIRACANJUBA TP 200g,50,1,3.5
12,f000000000000365002,f30,"DET LIQ YPE 500ml, CLEAR",50,1,3.2
13,f000000000000365003,f451,"DET LIQ YPE 500ml, COCO",50,1,3.2
14,f000000000001811456,f972,FHA TRIGO ANACONDA ESP 1kg,50,1,6.2
15,f000000000001816110,f109,FILTRO PAPEL MELITTA 103 ORIGINAL 30UN,50,1,4.5
16,f000000000001834440,f0912212,FITA ADES ADERE 12mmX50m,50,1,2.99
17,f000000000000263002,f5263,"HAV TRADICIONAL 39/40, AZUL",50,1,15.99
18,f000000000000264004,f5638,"HAV TRADICIONAL 41/42, PRETO",50,1,15.99
19,f000000000001953200,f2911213,LAVA ROUPAS LIQ BRILHANTE BCO COR 900ml,50,1,11.5
20,f000000000001834988,f0912213,VINAGRE ROSANI MACA 500ml,50,1,2.99
21,f000000000001806118,f72621,AB CAREFREE BRISA S/ PERF 15UN,50,1,6.99
22,f000000000001813592,f12458895,AGUA SANIT DA ILHA 2l,50,1,7.99
23,f000000000001813774,f72393,ALCOOL ZULU BACT 70 INPM 1l,50,1,9.99
24,f000000000001942044,f2576,COND NEUTROX 200ml 1 CLASSICO,50,1,8.2
25,f000000000001811205,f7171,DET PO KLIP CART 1kg,50,1,5.5
26,f000000000000349003,f1275,"DET PO TIXAN YPE CART 1kg, MACIEZ",50,1,10.99
27,f000000000000349004,f517,"DET PO TIXAN YPE CART 1kg, PRIMAVERA",50,1,10.99
28,f000000000001814118,f72761,GELADINHO AMERICANO SORT 40X55ml,50,1,8.5
29,f000000000000528002,f3011213,"PAPEL HIG FOLHALEV FD 30m 4UN, NT",50,1,6.99
30,f000000000001942691,f72287,DET PO OMO LAVAG PERF 800g,50,1,13.5
31,f000000000001950818,f72223,FRALDA CREMER JUMBINHO G 16UN,50,1,19.5
32,f000000000001950817,f0907216,FRALDA CREMER JUMBINHO M 18UN,50,1,19.5
33,f000000000001950816,f1412211,FRALDA CREMER JUMBINHO P 18UN,50,1,20.99
34,f000000000001943360,f72171,LAVA ROUPAS LIQ OMO SACHE LAV PERF 900ml,50,1,14.5
35,f000000000001920046,f5050,ARROZ INTEGRAL BURITI TP1 1kg,50,1,5.99
36,f000000000001813867,f817,ARROZ PARB BURITI LF TP1 5kg,50,1,25.2
37,f000000000000409004,f427,"DESINF LIQ PINHO SOL 500ml, ORIGINAL",50,1,6.5
38,f000000000001935515,f7250,DET PO KLIP CART 1kg  PERFUMES INTENSOS,50,1,5.99
39,f000000000000416003,f7863,"DET PO TIXAN YPE SACHE 1kg, PRIMAVERA",50,1,11.99
40,f000000000001817205,f2063,LEITE COND PIRACANJUBA SEMI DESN TP 395g,50,1,7.99
41,f000000000001804030,f161523,PEPINO TAUA 300g,50,1,11.99
42,f000000000001904803,f5145,REMOVEDOR ESM BASE ACETONA FARMAX 100ml,50,1,3.99
43,f000000000000396004,f2002,"SAB FRANCIS CLASSICO 90g, LJA",50,1,3.5
44,f000000000001950383,f7249,SAB FRANCIS SUAVE 85g AZUL L12P11,50,12,2.2
45,f000000000001946798,f7250,SAB FRANCIS SUAVE 85g BRANCO L12P11,50,12,2.2
46,f000000001936099001,f6944,"SAB LUX BOTANIC GLIC 85g, BUQUE JASMIM",50,1,2.99
47,f000000001936099006,f003366,"SAB LUX BOTANIC GLIC 85g, LIRIO AZUL",50,1,2.99
48,f000000001936099008,f0807,"SAB LUX BOTANIC GLIC 85g, RS FRANCESAS",50,1,2.99
49,f000000000000597001,f816,"VINAGRE CHEMIM ALCOOL 900ml, CLARO",50,1,2.2
50,f000000000001813758,f2389,AGUA SANIT QBOA 2l,50,1,7.5
51,f000000000001803261,f1146,ARROZ BRANCO TIO JOAO LF TP1 1kg,50,1,7.99
52,f000000000001815563,f5397,AZEITONA V FERTIL DOYPACK 120g S/C,50,1,5.99
53,f000000000001815560,f7262,AZEITONA V FERTIL SACHE 200g,50,1,7.5
54,f000000000001904672,f528,BISC TODESCHINI 360g AGUA E SAL,50,1,6.2
55,f000000000001904673,f85,BISC TODESCHINI 360g CREAM CRACKER,50,1,5.99
56,f000000001923276004,f036566,"DES REXONA AERO FEM 150ml, COTTON",50,1,14.5
57,f000000001923276009,f6408,"DES REXONA AERO FEM 150ml, S/PERF",50,1,14.5
58,f000000001900967004,f4606,"DES REXONA AERO MASC 150ml, INVISIBLE",50,1,16.99
59,f000000000000179003,f129,"MAIONESE HELLMANNS 500g, TRADICIONAL",50,1,11.99
60,f000000000001938135,f7117,MAIONESE HELLMANNS SACHET 400g,50,1,7.99
61,f000000000001804071,f6812,ACUCAR REFINADO UNIAO 1kg,50,1,6.2
62,f000000000001815562,f5195,AZEITONA V FERTIL DOYPACK 120g FAT,50,1,5.99
63,f000000000000001008,f642,MOLHO TOM QUERO SC 340g TRAD,50,1,2.2
64,f000000000001952563,f2712213,PAPEL HIG FOLHALEV FS 60m 4UN NEUTRO,50,1,6.2
65,f000000000001921823,f5907,SACO LIXO SUPER FORTE ALMOF 100l 5UN,50,1,8.99
66,f000000000001921822,f5893,SACO LIXO SUPER FORTE ALMOF 50l 10UN,50,1,8.99
67,f000000001917200009,f101304,"SH SEDA 325ml, PRETOS LUMINADOS",50,1,11.2
68,f000000000000365005,f2985,"DET LIQ YPE 500ml, CLEAR CARE",50,1,3.2
69,f000000000000365006,f444,"DET LIQ YPE 500ml, LIMAO",50,1,3.2
70,f000000000000365007,f445,"DET LIQ YPE 500ml, MACA",50,1,3.2
71,f000000000001815061,f3469,ADOCANTE LIQ ADOCYL 100ml,50,1,3.2
72,f000000000001804143,f157,CAFE CABOCLO VACUO 500g,40,1,2
