,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f102,f3577,ALHO SELECIONADO - FD 12X100G,50,12,5.5
1,f107,f1736,BICARBONATO DE SODIO - FD 12X40G,50,12,2.2
2,f117,f1746,CANELA EM RAMA - FD 12X10G,50,12,3.99
3,f60,f567,UVA PASSAS ESCURA SEM SEMENTE - CX 12X100G,50,12,4.99
4,f43,f72555,AMEIXA SECA SEM CAROCO - CX 12X100G,50,12,10.5
5,f59,f7801,UVA PASSAS BRANCA SEM SEMENTE - CX 12X100G,50,12,6.99
6,f176,f2776,PIMENTA PRETA PO - TB 12X30G,50,12,3.99
7,f816,f1401221,LEITE DE COCO RD - FD 24X200ML,50,24,4.5
8,f26,f14108,MILHO PIPOCA SUPREMA - FD 12X500G,50,12,5.99
9,f22,f1554,GRAO DE BICO - FD 12X500G,50,12,8.5
10,f310,f96841,BICARBONATO DE SODIO - PCT 1KG,50,1,18.50
11,f73,f5219,CHOCOLATE GRANULADO COLORIDO - FD 12X80G,50,12,3.2
12,f61,f1728,ACUCAR BAUNILHA - FD 12X40G,50,12,2.99
13,f122,f4972,CHIMICHURRI - FD 12X20G,50,12,3.2
14,f160,f1734,OREGANO - FD 12X30G,50,12,5.2
15,f161,f7802,OREGANO - FD 12X05G,50,12,2.2
16,f118,f1939,CEBOLA ALHO SALSA - FD 12X20G,50,12,3.2
17,f137,f418548125,CRAVO DA INDIA - FD 12X10G,50,12,3.2
18,f380,f2401221,SALSINHA - PCT 1KG,50,1,41.99
19,f322,f1510214,CHIMICHURRI - PCT 1KG,50,1,70.99
20,f114,f1738,CAMOMILA EM FLOR - FD 12X05G,50,12,2.99
21,f113,f3083,CAMOMILA EM FLOR - FD 12X30G,50,12,5.2
22,f153,f1741,LOURO EM FOLHAS - FD 12X05G,50,12,2.2
23,f220,f9001,MOLHO SHOYU - CX 12X150ML,50,12,4.2
24,f2,f1563,AMENDOIM DESCASCADO RUNNER - FD 12X500G,50,12,10.5
25,f10,f2370,FARINHA DE ROSCA - FD 12X500G,50,12,5.5
26,f28,f3090,POLVILHO DOCE - FD 12X500G,50,12,5.5
27,f76,f2222,CHOCOLATE GRANULADO ESCURO - FD 12X200G,50,12,4.5
28,f115,f1935,CANELA EM PO - FD 12X35G,50,12,3.5
29,f116,f1933,CANELA EM PO - TB 12X35G,50,12,4.5
30,f141,f1948,CURRY - FD 12X20G,50,12,2.2
31,f144,f1743,ERVA DOCE - FD 12X20G,50,12,3.5
32,f151,f4977,LEMON E PEPPER - FD 12X20G,50,12,3.2
33,f163,f1952,PAPRICA PICANTE - FD 12X20G,50,12,2.99
34,f166,f1727,PIMENTA CALABRESA FLOCOS - FD 12X20G,50,12,3.2
35,f172,f820,PIMENTA PRETA PO - FD 12X35G,50,12,3.5
36,f177,f1964,SAL AMONIACO (BICARBONATO DE AMONIO) - FD 12X40G,50,12,2.2
37,f202,f822,ALHO TRITURADO - CX 12X200G,50,12,5.99
38,f215,f2812211,MOLHO DE ALHO - CX 12X150ML,50,12,4.5
39,f216,f2371,MOLHO DE PIMENTA - CX 12X150ML,50,12,4.5
40,f218,f6963,MOLHO PARA CHURRASCO - CX 12X150ML,50,12,4.5
41,f235,f1965,SAL TEMPERADO GROSSO - FD 12X400G,50,12,3.99
42,f759,f4452,TEMPERO COMPLETO C/PIMENTA RD - CX 12X300G,50,12,3.5
43,f5,f829,CANJICA BRANCA - FD 12X500G,50,12,6.5
44,f32,f1749,SAGU - FD 12X500G,50,12,6.99
45,f27,f1580,POLVILHO AZEDO - FD 12X500G,50,12,6.99
46,f127,f1963,COLORIFICO (COLORAU TEMPERADO) - FD 12X20G,50,12,2.2
47,f75,f5552,CHOCOLATE GRANULADO ESCURO - FD 12X80G,50,12,3.5
48,f121,f1936,CHEIRO VERDE - FD 12X05G,50,12,2.2
49,f213,f7274,FAROFA PRONTA TRADICIONAL - FD 12X500G,50,12,7.2
50,f29,f828,QUIRERINHA AMARELA - FD 12X500G,50,12,3.99
51,f101,f3573,ALHO GRANULADO - FD 12X30G,50,12,3.5
52,f119,f3578,CEBOLA GRANULADA - FD 12X20G,50,12,2.99
53,f170,f1745,PIMENTA PRETA GRAO - FD 12X30G,50,12,4.99
54,f99,f1931,ALECRIM - FD 12X10G,50,12,2.2
55,f186,f4987,TEMPERO PARA FRANGO - FD 12X20G,50,12,2.99
56,f140,f1961,CURCUMA (ACAFRAO) - FD 12X20G,50,12,2.2
57,f162,f1959,PAPRICA DOCE - FD 12X20G,50,12,2.99
58,f142,f1740,ENDRO - FD 12X20G,50,12,2.99
59,f236,f7805,TAPIOCA (MASSA PRONTA) - CX 20X500G,50,20,5.99
60,f194,f3185,ALCAPARRAS - CX 12X90G,50,12,6.99
61,f25,f827,MILHO PIPOCA NACIONAL - FD 12X500G,50,12,4.99
62,f128,f1950,COLORIFICO (COLORAU) - FD - 12X40G,50,12,2.2
63,f129,f6075,COLORIFICO (COLORAU) - FD 12X80G,50,12,2.99
