,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000000063311,f1524,PAO FORMA INTEGRAL PANCO,50,1.0,9.99
1,f000000000000010605,f4739,BISNAGUINHA PANCO,50,1.0,7.2
2,f000000000000058041,f7807,PANQUINHO MORANGO 70G,50,1.0,2.99
3,f000000000000063342,f10726,BOLO PANCO GOTAS DE CHOCOLATE 300G,50,1.0,8.99
4,f000000000000010100,f72720,PAO DE LEITE 500 GR PANCO,50,1.0,8.2
5,f000000000000058058,f72721,PAQUINHO DOCE DE LEITE 70 GR,50,1.0,2.99
6,f000000000000059321,f72725,BOLO ABACAXI 300 GR PANCO,50,1.0,8.99
7,f000000000000010059,f162902,PAO DE FORMA PREMIUM PANCO,50,1.0,8.5
8,f000000000000056627,f197324,PANQUINHO BAUNILHA,50,1.0,2.6
9,f000000000000059406,f197325,PANQUINHO CHOCOLATE C/BAUNILHA,50,1.0,2.99
10,f000000000000059390,f197326,PANQUINHO CHOCOLATE,50,1.0,2.99
11,f000000000000058867,f0306211,PAO INTEGRAL 15 GRAOS 380G,50,1.0,10.2
12,f000000000000067906,f0306212,PAO INTEGRAL CASTANHAS BRASILEIRAS 380G,50,1.0,10.2
13,f000000000000010209,f0306214,PAO DE MILHO PANCO 500G,50,1.0,9.5
14,f000000000000059413,f688529,PANQUINHO BRIGADEIRO,50,1.0,2.99
15,f000000000000059314,f2105211,PANCO BOLO 300G,50,1.0,8.99
16,f000000000000067913,f3006218,PAO PANCO INTEGRAL CASTANHA DO PA E LINHA,50,1.0,10.2
17,f000000000000055262,f2612211,BlBebezChoc 2/70,50,1.0,3.5
18,f000000000000063427,f2612212,BlBebeBrigadei70,50,1.0,3.5
19,f000000000000063328,f2612213,BlBebeBauGotas70,50,1.0,3.5
20,f000000000000059475,f2612214,BlBeChoReChoSu70,50,1.0,3.5
21,f000000000000059345,f2612216,BoloChocoboy 300,50,1.0,9.99
22,f000000000000059352,f2105212,BoloChocolate300,50,1.0,8.99
23,f000000000000063359,f2612218,BLFormigueiro300,50,1.0,8.5
24,f000000000000067920,f1201221,PIntAveia 100% 380G,50,1.0,10.2
25,f000000000000058850,f0202221,PIntgQuinoa 380,50,1.0,10.2
26,f000000000000063335,f72724,PIntegralZero380,50,1.0,10.2
27,f000000000000058881,f0202225,PIntgOmega3 380,50,1.0,10.2
28,f000000000000068217,f0202222,PIntAzeiteErvas380G,50,1.0,10.2
29,f000000000000068200,f0202223,PIntAustraliano380G,50,1.0,10.2
30,f000000000000055200,f72859,BlBebezLaran2 70,50,1.0,3.5
31,f000000000000055248,f72860,BlBebezMoran2 70,50,1.0,3.5
32,f000000000000057525,f2107225,MLamenTradGalC85,80,1.0,1.99
33,f000000000000057501,f2107224,MLamenTradCarn85,80,1.0,1.99
34,f000000000000057723,f2807221,MLamenHotGalBa85,80,1.0,1.99
35,f000000000000057518,f2807223,MLamenTradGal 85,80,1.0,1.99
36,f000000000000059796,f2807222,MLamTraCarneTo85,80,1.0,1.99
37,f000000000000059482,f72861,BoloMilho 300 Contém milho e soja transgênicos,50,1.0,8.99
