,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f41553,f2112212,TRIM CORTADOR UNHA MAO C/CORRENTE 1-25PG 6X1$,50,6,8.5
1,f27289,f1806211,BARRA CEREAL HERSHEYS CHOCOLATE 24X22G$,50,24,1.99
2,f13300,f2112213,CREME BARBA BOZZANO PELE SENSIVEL 65GRS 6X1,50,6,8.99
3,f60848,f211224,CREME BARBA BOZZANO REFRESCANTE ANTIBACTERICIDA 65GRS 6X1,50,6,8.99
4,f79025,f2112215,DESODORANTE AEROSOL DOVE ORIGINAL 87GRS,50,1,20.99
5,f22793,f2112216,DESODORANTE ROLL-ON DOVE ORIGINAL 50ML,50,1,14.5
6,f44326,f2112217,ISABABY CURATIVO TRADICIONAL 24X10 UNIDADES$,50,24,3.99
7,f75025,f2212211,LAMPADA EVEREADY LED 13W BIVOLT 6500K$,50,1,23.99
8,f75017,f2212212,LAMPADA EVEREADY LED 9W BIVOLT 6500K$,50,1,13.99
9,f69500,f3410,NIVEA LOCAO BODY MILK EXTRA SECA 6X200ML,50,6,10.2
10,f9415,f369959,SABONETE POM POM GLICERINADO 80G 12X1 REF1600,50,12,3.99
11,f58185,f2606,TENYS PE BARUEL PO CANFORADO 100GR 6X1,50,6,11.2
12,f38596,f2212213,TRIM CORTADOR UNHA PE 4-100PG 6X1$,50,6,14.99
13,f88887,f2212214,STARSCHOOL CADERNO ESPIRAL UNIV 10M MINNIE REF 0240CD 160FLS 4X1$,50,4,18.2
14,f88473,f2212215,STARSCHOOL CADERNO ESPIRAL UNIV 1M MICKEY CD 80FLS 4X1R235$,50,4,11.2
15,f87228,f2212216,LAMPADA  KIAN LED 15W BIVOLT 6.500K - 1.350 LUMENS - CAIXINHA$,50,1,17.99
16,f51109,f5396,ABSORVENTE INTIMUS INTERNO MEDIO 4X8*,50,4,7.2
17,f51117,f33344,ABSORVENTE INTIMUS INTERNO SUPER 4X8 REF=8380*,50,4,7.2
18,f76666,f5841,CREME DENTAL CLOSE-UP TRIPLE 70G HORTELA 12X1 REF1381*,50,12,2.99
19,f76695,f4723,CREME DENTAL CLOSE-UP TRIPLE 70G MENTA 12X1 REF382*,50,12,2.99
20,f76705,f5309,CREME DENTAL CLOSE-UP TRIPLE 70G MENTA AMERICANA 12X1 REF1210*,50,12,2.99
21,f19452,f4143,SHAMPOO CLEAR ANTICASPA 2 EM 1 LIMPEZA DIARIA 200ML*,50,1,19.99
22,f33220,f2801222,SHAMPOO CLEAR ANTICASPA ANTICOCEIRA 200ML*,50,1,19.99
23,f21219,f2801223,SHAMPOO CLEAR ANTICASPA CONTROLE COCEIRA 200ML*,50,1,19.99
24,f21423,f2801224,SHAMPOO CLEAR ANTICASPA FLOR DE CEREJEIRA REF-139  200ML*,50,1,19.99
25,f84780,f4287,SHAMPOO CLEAR ANTICASPA HIDRATACAO INTENSA  200ML*,50,1,19.99
26,f28271,f2801226,SHAMPOO CLEAR ANTICASPA LIMP.HIDRATANTE SPORTS REF-5399) 200ML*,50,1,19.99
27,f54350,f2801227,STARLUX ESC. COLA BRANCA 6X90G REF=54350$,50,6,3.99
28,f47071,f354,ABSORVENTE SYM C/ ABAS SUAVE NOTURNO 12X8 (ANA 18)*,50,12,5.99
29,f6044,f2683,CADERNO 1/4 CF ESP. JANDAIA 48F BRASILIDADE (09) 20X1$,50,9,5.99
