,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000000411269,f548,NESTLE Creme de Leite Uht 27x200g BR,50,1,5.2
1,f000000000000413067,f1373,NESCAFE ORIGINAL Sachet 24x50g XW,50,1,5.99
2,f000000000000413152,f2311215,NESCAFE Matinal Sachet 24x50g XW,50,1,5.99
3,f000000000000414050,f7602,SENSACAO Chocolate 12(24x38g) BR,50,24,2.99
4,f000000000011320331,f7748,BATON Bastao Choc Branco 32(30x16g)XW,50,30,1.5
5,f000000000011320367,f178,BATON Bastao Choc Leite 32(30x16g)XW,50,30,1.5
6,f000000000012097176,f1092,ALPINO Bebida Garrafa Plas 4(6x280ml) BR,50,1,5.5
7,f000000000012105484,f1772,MUCILON Multicereais Sachet 12x230g BR,50,1,7.99
8,f000000000012182407,f9004,CLASSIC Biscoito Recheado 60x140g BR,50,1,4.5
9,f000000000012187083,f1866,NESTON Bebida Garrafa Plas 4(6x280ml) BR,50,1,5.5
10,f000000000012272482,f105116,SUFLAIR Chocolate Leite 12(20x50g) BR,50,20,4.2
11,f000000000012325231,f951,PASSATEMPO Bisc Recheado Choc 70x130g BR,50,1,2.99
12,f000000000012344609,f3516,MAGGI Caldo Galinha 15(10x57g) BR,50,1,1.99
13,f000000000012439788,f72448,BONO Bisc Recheado Chocolate 60x126g BR,50,1,3.5
14,f000000000012439813,f72394,BONO Bisc Recheado Morango 60x126g BR,50,1,3.5
15,f000000000012487154,f1411215,NEGRESCO Biscoito Recheado 66x100g BR,50,1,3.5
16,f000000000012405477,f6978,DOG CHOW Adlt TdTm Cordeiro 15x100g BR,50,15,2.99
17,f000000000000414602,f170,PRESTIGIO Chocolate 30x33g BR,50,30,2.2
18,f000000000000414649,f175,CHARGE Chocolate 12(30x40g) XW,50,30,2.2
19,f000000000000415014,f182108,MAGGI FONDOR Tempero 30x120g BR,50,1,7.5
20,f000000000000415385,f622,MAGGI Creme Cebola 12x68g BR,50,12,5.99
21,f000000000012071333,f3804,NESCAU 2.0 ACTIGEN-E Achoc Po 48x200g BR,50,1,4.99
22,f000000000012150285,f1612,NESCAU ACTIGEN-E Bebida Lactea 12x1L BR,50,1,13.2
23,f000000000012342557,f2917,KIT KAT 4Fngr Leite 4(24x41.5g) BR,50,24,3.99
24,f000000000012396270,f485,CLASSIC Duo Chocolate 4(14x90g) BR,50,14,6.99
25,f000000000012443607,f955,NESCAU ACTIV-GO BebLactea 27x200ml N1 BR,50,27,2.99
26,f000000000012464177,f6329,SUFLAIR Chocolate Duo 4(16x80g) BR,50,16,6.99
27,f000000000012405475,f33366,DOG CHOW Adlt TdTm Carne 15x100g BR,50,15,2.99
