,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000000000411269,f548,NESTLE Creme de Leite Uht 27x200g BR,50,27.0,5.20
1,f000000000000413067,f1373,NESCAFE ORIGINAL Sachet 24x50g XW,50,1.0,6.2
2,f000000000000413152,f2311215,NESCAFE Matinal Sachet 24x50g XW,50,1.0,6.2
3,f000000000000414050,f7602,SENSACAO Chocolate 12(24x38g) BR,50,24.0,2.99
4,f000000000012097176,f1092,ALPINO Bebida Garrafa Plas 4(6x280ml) BR,50,1.0,5.99
5,f000000000012105484,f1772,MUCILON Multicereais Sachet 12x230g BR,50,1.0,8.2
6,f000000000012182407,f9004,CLASSIC Biscoito Recheado 60x140g BR,50,1.0,4.5
7,f000000000012187083,f1866,NESTON Bebida Garrafa Plas 4(6x280ml) BR,50,1.0,5.99
8,f000000000012272482,f105116,SUFLAIR Chocolate Leite 12(20x50g) BR,50,20.0,4.5
9,f000000000012325231,f951,PASSATEMPO Bisc Recheado Choc 70x130g BR,50,1.0,3.2
10,f000000000012344609,f3516,MAGGI Caldo Galinha 15(10x57g) BR,50,1.0,2.2
11,f000000000012439788,f72448,BONO Bisc Recheado Chocolate 60x126g BR,50,1.0,3.99
12,f000000000012439813,f72394,BONO Bisc Recheado Morango 60x126g BR,50,1.0,3.99
13,f000000000012487154,f1411215,NEGRESCO Biscoito Recheado 66x100g BR,50,1.0,3.99
14,f000000000012405477,f6978,DOG CHOW Adlt TdTm Cordeiro 15x100g BR,50,15.0,2.99
15,f000000000000414602,f170,PRESTIGIO Chocolate 30x33g BR,50,30.0,2.5
16,f000000000000414649,f175,CHARGE Chocolate 12(30x40g) XW,50,30.0,2.2
17,f000000000000415014,f182108,MAGGI FONDOR Tempero 30x120g BR,50,1.0,7.5
18,f000000000000415385,f622,MAGGI Creme Cebola 12x68g BR,50,12.0,5.99
19,f000000000012071333,f3804,NESCAU 2.0 ACTIGEN-E Achoc Po 48x200g BR,50,1.0,4.99
20,f000000000012150285,f1612,NESCAU ACTIGEN-E Bebida Lactea 12x1L BR,50,12.0,13.20
21,f000000000012342557,f2917,KIT KAT 4Fngr Leite 4(24x41.5g) BR,50,24.0,3.99
22,f000000000012396270,f485,CLASSIC Duo Chocolate 4(14x90g) BR,50,14.0,6.99
23,f000000000012443607,f955,NESCAU ACTIV-GO BebLactea 27x200ml N1 BR,50,27.0,3.20
24,f000000000012464177,f6329,SUFLAIR Chocolate Duo 4(16x80g) BR,50,16.0,6.99
25,f000000000012405475,f33366,DOG CHOW Adlt TdTm Carne 15x100g BR,50,15.0,2.99
26,f000000000012432736,f5864,FRISKIESSelecaoSaborosaMixCar12x500gN2BR,50,1.0,18.99
27,f000000000012432870,f10158,FRISKIESPetscdoMarPxFrdoM12x500gBR,50,1.0,20.2
28,f000000000012489996,f2101221,ALPO Filhotes CarFrgCerVeg Lei 10x1kg BR,50,1.0,18.2
29,f000000000012496079,f2101223,DOGCHOWXLfeFilhMedGdeCarFrgArz10x1kgBR,50,1.0,24.2
30,f000000000012501486,f2101224,DOGCHOWXLfeAdltMnPeqCarFrgArz10x1kgBR,50,1.0,22.99
31,f000000000000412397,f2506211,NESCAFE TRADICAO Sachet 24X50g XW,50,1.0,6.2
32,f000000000000415084,f609,MAGGI MEU SEGREDO Temp Gran 42(7x7g)BR,50,1.0,4.2
33,f000000000000415821,f2146,MAGGI Sopao Sp Carne 24x200g BR,50,1.0,8.2
34,f000000000011320331,f7748,BATON Bastao Choc Branco 32(30x16g)XW,50,30.0,1.5
35,f000000000011320367,f72812,BATON Bastao Choc Leite 32(30x16g)XW,50,30.0,1.5
36,f000000000012045051,f93,PASSATEMPO Biscoito Leite 54x150g BR,50,1.0,3.5
37,f000000000012136357,f2828,PRESTIGIO Wafer 48x110g BR,50,1.0,4.5
38,f000000000012155337,f790,BATON Bastao Duo 32(30x16g) XW,50,30.0,1.5
39,f000000000012196210,f2097,LOLLO Chocolate 12(30x28g) BR,50,30.0,2.5
40,f000000000012223291,f3560,MAGGI Sopao Carne Panela 24x200g BR,50,1.0,8.2
41,f000000000012237906,f7064,SNOW FLAKES Cereal Matinal 20x300g BR,50,1.0,10.5
42,f000000000012340110,f6889,CLASSIC Cookie Choc Gotas Choc 52x60gBR,50,1.0,3.5
43,f000000000012350064,f6861,MAGGI Caldo Galinha 100x114g BR,50,1.0,3.99
44,f000000000012370783,f88655,NESCAU Cereal Matinal 24x210g BR,50,1.0,10.5
45,f000000000012396174,f3248,GALAK Chocolate 4(14x90g) BR,50,14.0,6.99
46,f000000000012396208,f72196,CLASSIC Chocolate ao Leite 4(14x90g) BR,50,14.0,6.99
