,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f12354550,f996622,CHAMYTO GO 100 G IOGURTE LIQ MORANGO,40,1,3.2
1,f12354539,f9933221,CHAMYTO GO 100 G IOGURTE LIQ VITAMINA DE FRUTAS (CX/24),40,1,2.99
2,f12382903,f7212,CHAMYTO IOGURTE MOR+CER COLORIDO 130 G (CX/24),40,1,4.99
3,f12342863,f117,CHAMYTO LEITE FERMENTADO BIG 720 G(CX/21),40,6,1.99
4,f12277332,f092818,CHANDELLE CHOCOLATE 180 G (CX/24),40,1,5.99
5,f12342563,f2800,NESTLE 170 G IOG NATURAL CENOURA E LARANJA (CX/28),40,1,3.2
6,f12342555,f2799,NESTLE 170 G IOG NATURAL INTEGRAL,40,1,3.2
7,f12405990,f7182,NESTLE GREGO 90 G FRUTAS VERMELHAS (CX/24),40,1,2.99
8,f12334185,f1139,NESTLE IOGURTE MORANGO 170 G (CX/24),40,1,2.99
9,f12334360,f72245,NESTLE IOGURTE MORANGO 900 G (CX/12),40,1,11.99
10,f12406318,f7681,NESTLE GREGO 90 G TRADICIONAL (CX/24),40,1,2.99
11,f12343321,f5566,NINHO 170 G MACA/BANANA IOG LIQ (CX/24),40,1,3.5
12,f12381968,f7123,NINHO IOG POLPA 3 SABORES 540 G (CX/06),40,1,7.20
13,f9720,f2312214,FRIOLACK MANTEIGA C/SAL POTE 200 G,40,1,7.99
14,f23087,f7210,NAT ONE AMBIENTE LARANJA 2 LT,50,1,16.5
15,f12406407,f6346,NESTLE GREGO 90 G TORTA DE LIMAO,40,1,2.99
16,f12343045,f1521,CHAMYTO LEITE FERMENTADO 450 G (CX/21),40,6,1.2
