,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f326118,f2360,STEAK FGO EMP CONG IWP 100G PD,50,36,2.2
1,f605794,f883,HBV020 HAMBURGUER AVEBOV PERD,50,36,1.2
2,f475805,f7806,LASANHA BOLONHESA SADIA 600G,50,6,9.99
3,f475806,f2701221,LASANHA CALABRESA SADIA 600G,50,6,10.5
4,f339657,f7854,STEAK FGO EMP CONG IWP 100G SD,50,45,1.99
5,f239706,f0009,MORTADELA DEFUMADA OURO PERDIGAO,84,8,28.99
6,f210395,f2345,"PATE DE PRESUNTO RESFRIADO SADIA 2,5KG",50,25,4.2
7,f210441,f2619,PATE DE PEITO DE PERU DEFUMADO SADIA,40,25,3.99
8,f499913,f2707214,LASANHA TIPO CALAB PD 600G CX3.6KG,50,6,13.20
9,f459183,f5187,LASANHA BOLONHESA 600G PERDIGAO,50,6,13.20
10,f569579,f72346,"LASANHA DE FRANGO CONGELADA CX 3,6KG PD",50,6,13.20
11,f734737,f2403221,MARGARINA BECEL MANT COM SAL PT 250G,40,24,4.99
12,f459314,f2313,LASANHA 4 QUEIJOS SADIA 600G,50,6,15.99
13,f475841,f00222,LASANHA PRESUNTO E QJO AO SUGO 600G SD,50,6,15.99
