,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f121286,f3510,LIMPADOR CONC.COALA CITRONELA,50,1.0,13.5
1,f3217,f1347,SACO LIXO LIMPS 100L,50,1.0,2.99
2,f1709,f85,BISC.CRACKER AGUIA SALT,50,1.0,5.5
3,f1523,f2215,GOIABADA DIVINA MESA BLOCO,50,1.0,3.99
4,f65124,f164023,NOZES S/CASCA INTEIRAS JANDIRA,50,1.0,13.99
5,f3215,f4372,SACO LIXO LIMPS 30L,50,1.0,2.5
6,f119049,f550,AROMA ARTIF.BAUNILHA CEPERA,50,1.0,4.99
7,f50741,f3193,PALHA P/CIG.ESP.PRINCESA,50,1.0,2.2
8,f2340,f6818,SACO ALG.ALVEJADO LAVADO LIMPS 40X65CM,50,1.0,9.99
9,f118032,f5810,P.H.CLASSY DOUBLE FOLHA DUPLA NT.(16X4),50,1.0,7.99
10,f119803,f155823,P.H.CLASSY DOUBLE FOLHA DUPLA NT.LV+ PG-,50,1.0,19.99
11,f116846,f335,ESPONJA P/L ESFREBOM L12P10,50,1.0,1.5
12,f713,f2709,VINAGRE DIVINA MESA DE ALCOOL,50,1.0,2.50
13,f40223,f5773,CERA LIQ.BRILHO FACIL AMARELA,50,1.0,12.5
14,f119011,f9013,PANETONE DIVINA MESA TRUFADO CHOC.,50,1.0,17.99
15,f111236,f2085,PANETONE DIVINA MESA CHOCOLATE,50,1.0,10.99
16,f2508,f2084,PANETONE DIVINA MESA FRUTAS,50,1.0,10.99
17,f119382,f1212211,LAMP.FOXLUX LED 9W 6500K CERTIF.BIV.,50,1.0,8.99
18,f119383,f1212212,LAMP.FOXLUX LED 12W 6500K CERTIF.BIV.,50,1.0,14.2
19,f119391,f4702,LAMP.EMPALUX HALOG.CLASSICA 100WX127V,50,1.0,6.99
20,f115630,f396541,BOLO D.BENTA CHOCOLATE,50,1.0,8.20
21,f121243,f161523,PEPINO TAUA SUAVE (HEMMER),50,1.0,9.99
22,f118585,f159846,TORRADA ISABELA TRAD.,50,1.0,3.99
23,f121289,f698412,LIMPADOR CONC.COALA FLORAL,50,1.0,13.5
24,f122661,f1212213,SAB.LIQ.PREMISSE DEO.MIX DE FRUTAS C/V,50,1.0,11.5
25,f40241,f3816,CERA LIQ.BRILHO FACIL INCOLOR,50,1.0,12.5
26,f109428,f175,CHOC..NESTLE CHARGE,50,1.0,2.2
27,f118974,f0369899,CHOC.TRENTO DARK 55% CACAU,50,1.0,2.2
28,f117910,f72258,CHOC.TRENTO CHOC.BRANCO DARK,50,1.0,2.2
29,f121371,f72541,CHOC.TRENTO ALLEGRO CHOC.DARK C\AMENDOIM,50,1.0,2.2
30,f116394,f2604,LIMPADOR DESENG.COZINHA QBOA,50,1.0,6.5
31,f35521,fGENERICO,FILME PVC TECFILM 380L X 11 MICRAS,50,1.0,90.99
32,f120870,f303,ESPONJA LA DE ACO BOMBRIL 60GR L16P14,50,1.0,2.5
33,f60852,f655,GUARDANAPO DIVINA MESA 19CMX20 CM,50,1.0,1.5
34,f23213,f651,GUARDANAPO SNOB PQ GNB23 24X22CM,50,1.0,1.99
35,f3207,f462,P.H.CLASSY MAXXI 60 MT FS. NEUTRO (16X4),50,1.0,6.5
36,f30309,f5113,AM.BABY SOFT TOQUE CARINHO AZUL,50,1.0,7.2
37,f22731,f551,MASSA GALO NINHO 2 SEMOLA,50,1.0,4.99
38,f930,f3705,"PAPEL MANTEIGA WYDA 29CMX7,5M",50,1.0,7.5
39,f1257,f2464,PEPINO DIVINA MESA 300G,50,1.0,8.99
40,f47767,f263,FAROFA PRONTA PINDUCA DE MANDIOCA,50,1.0,7.5
41,f97969,f6178,PASTA CRISTAL ROSA UFE,50,1.0,5.5
42,f4022,f1148,FEIJAO PRETO PE VERMELHO T-1,50,1.0,10.5
43,f7019,f2717,ESPETINHO MAD.PARANA 25CM 50UN,50,1.0,3.99
44,f120443,f1146,ARROZ TIO JOAO BRANCO,50,1.0,8.5
45,f120033,f368541,FAR.DE MAND.PINDUCA BRANCA 500GR,50,1.0,4.2
46,f120032,f3698521,FAR.DE MAND.PINDUCA TORRADA 500GR,50,1.0,4.5
47,f118473,f1958,FAR.DE MILHO SINHA FLOCAO,50,1.0,3.5
48,f84506,f2389,AGUA SANIT.QBOA,50,1.0,7.99
49,f119346,f5742,ESPONJA P/L LIMPS UNITARIA,50,1.0,1.2
50,f34258,f580,MASSA GALO ESPAG.8 SEMOLA,50,1.0,4.5
51,f123346,f72813,DESINF.LIMPS MARINE,50,1.0,2.5
52,f113281,f6124,ACUCAR MASCAVO DOCE BRASIL,50,1.0,10.5
53,f116681,f5425,CATCHUP DIVINA MESA BISNAGA,50,1.0,3.5
54,f115691,f395421,BOLO D.BENTA CENOURA,50,1.0,5.99
55,f44024,f1124,BOLO D.BENTA LARANJA,50,1.0,5.99
56,f115703,f2460,BOLO D.BENTA FUBA,50,1.0,5.99
57,f115657,f2462,BOLO D.BENTA COCO,50,1.0,5.99
58,f117899,f02223,CHOC.TRENTO AVELAS 38% CACAU,50,1.0,2.2
59,f117895,f72257,CHOC.TRENTO CHOCOLATE 38% CACAU,50,1.0,2.2
60,f123065,f0406211,CHOC.TRENTO TORTA DE MACA,50,1.0,2.2
61,f120912,f72541,CHOC.TRENTO ALLEGRO CHOCO AMENDOIM 38%,50,1.0,2.2
62,f123260,f72258,CHOC.TRENTO DUO CHOC./CHOC.BCO,50,1.0,2.2
63,f121261,f72569,SAL MARINHO DIVINA MESA,50,1.0,1.99
64,f447,f2040,OVO CODORNA DIVINA MESA TRAD,50,1.0,18.5
65,f112178,f4598,AZEITONA VALE FERTIL C/C SACHE,50,1.0,3.2
66,f119631,f1661,QUEROSENE PETRUS (QUEROSENE),50,1.0,14.99
67,f2025,f2531,PREND.P/ROUPA MAD.LIMPS,50,1.0,2.99
68,f123384,f2512212,FOSF.FIAT LUX COZINHA 200 PALITOS,50,1.0,3.5
69,f120894,f72305,VELA PETALAS VOTIVA SANTO 230GR,50,1.0,9.99
70,f117367,f5494,"FOSF.PARANA GIGANTE ECO 9,5CM 50 PALITOS",50,1.0,2.5
71,f119715,f2512213,VELA PETALAS VOTIVA 230GR,50,1.0,9.5
72,f36536,f328,FOSF.PARANA CX.MADEIRA ECO 40 PALITOS,50,1.0,3.5
73,f116643,f3735,LUVA LATEX FORRADA (AM) SANRO TOP P,50,1.0,10.5
74,f117539,f4727,SACO LIXO LIMPS REFORCADO 50L,50,1.0,5.99
75,f122297,f4316,DESOD.SAN.PEDRA LIMPS FLORAL,50,1.0,1.99
76,f122296,f6009,DESOD.SAN.PEDRA LIMPS LAVANDA,50,1.0,2.2
77,f2509,f2312216,MASSA INST.DIVINA MESA CARNE,50,1.0,1.2
78,f121090,f2512211,FAR.P/QUIBE LUZAGO,50,1.0,4.5
79,f117080,f2475,PAPEL ALUMINIO DIVINA MESA 45X4M,50,1.0,5.2
80,f2388,f547,CR.DE LEITE PIRACANJUBA UHT,50,1.0,4.5
81,f118178,f2633,ALGODAO COTTONBABY CAIXA BRANCO,50,1.0,2.99
82,f115817,f4550,AMIDO DE MILHO MAIZENA,50,1.0,4.5
83,f955,f2269,MASSA DIVINA MESA CAS.BANDEJA N3,50,1.0,4.99
84,f62766,f2602,SAL P/CHURRASCO DIANA,50,1.0,3.5
85,f120585,f2812211,MOLHO DE ALHO DIVINA MESA PET,50,1.0,4.2
86,f1465,f1336,"TOALHA DE PAPEL DIVINA MESA 50FL 20,5X19",50,1.0,4.2
87,f121326,f72738,CREME DE TRAT.SKALA #MAIS CACHOS,50,1.0,9.2
88,f121319,f5189,CREME DE TRAT.SKALA #MAIS LISOS,50,1.0,8.5
89,f121057,f3059,CREME DE TRAT.SKALA BABOSA,50,1.0,8.5
90,f121051,f2653,CREME DE TRAT.SKALA CERAMIDAS G3,50,1.0,9.2
91,f121060,f7145,CREME DE TRAT.SKALA DIVINO POTAO,50,1.0,8.5
92,f121055,f0807218,CREME DE TRAT.SKALA DIVINO POTINHO KIDS,50,1.0,8.5
93,f121372,f02255,CHOC.TRENTO ALLEGRO CHOC.BCO C\AMENDOIM,50,1.0,2.50
94,f4693,f3550,AP.B.BIC COMFORT F WOMEN DEPILAR,50,2.0,2.99
95,f4694,f3588,AP.B.BIC COMFORT 2 P.NORMAL (AZUL),50,2.0,2.5
96,f120587,f4280,MOLHO SHOYU DIVINA MESA PET,50,1.0,3.99
97,f20486,f16.1715,INSET.REFIL PAST.MAT INSET TRAD.L12P10,50,1.0,2.99
98,f20023,f811,CORANTE GUARANI N.31 PRETO (TINGECOR),50,1.0,4.2
99,f122304,f0209217,TOALHA UMED.BABY FREE,50,1.0,3.99
100,f2511,f4313,MASSA INST.DIVINA MESA GAL.CAIPIRA,50,1.0,1.2
101,f88811,f2321,CHA MATTE LEAO ORIGINAL 25 SAQ.,50,1.0,5.20
102,f22292,f973,FAR.DE TRIGO ESP.SOL (1KG),50,1.0,5.99
103,f248,f74,AGUA SANIT.QBOA,50,1.0,3.99
104,f121177,f134330,PAO DE MEL DIVINA MESA COB.CHOCOLATE,50,1.0,2.99
105,f50059,f1166,AP.B.BIC COMFORT 3 ADV.SENSIVEL (VERDE),50,1.0,4.5
106,f1184,f2074,AP.B.BIC COMFORT 3 ADVANCE (AZUL),50,1.0,4.5
107,f116523,f2821,AP.B.BIC COMFORT 3 BLACK NIGHT,50,1.0,4.5
108,f118433,f201910,AP.B.BIC DEPILADOR SOLEIL ROSA 3 LAMINAS,50,1.0,5.2
109,f118377,f5134,GOMA AMERICANA DORI FRUTAS SORTIDAS TUBO,50,1.0,0.99
110,f119966,f72357,CHOC.TRENTO MOUSSE DE MARACUJA,50,1.0,2.2
111,f27936,f2764,FEIJOADA ODERICH,50,1.0,9.50
112,f50407,f865,FAR.DE MILHO C.LARGO AMARELA,50,1.0,7.99
113,f27960,f479,CERA PASTA CANARIO INCOLOR,50,1.0,19.2
114,f92487,f3698,SC BEL 99 POTE(NR.ONU-1823). (HIDROX SOD),50,1.0,23.99
115,f4023,f2221,FEIJAO CARIOCA PE VERMELHO T-1,50,1.0,12.99
116,f123347,f2511212,DESINF.LIMPS TALCO,50,1.0,2.5
117,f120796,f99966,SAPOLIO CREMOSO RADIUM CLASSICO,50,1.0,7.2
118,f120799,f2434,SAPOLIO CREMOSO RADIUM CLORO,50,1.0,7.2
119,f2375,f3116,MOSTARDA DIVINA MESA BISNAGA,50,1.0,3.50
120,f122329,fgenerico,DIFUSOR DE AROMAS COALA LAVANDA,50,1.0,13.99
121,f60380,f828,QUIRERINHA CAMPO LARGO,50,1.0,4.2
122,f76600,f642,MOLHO DE T.QUERO SACHE TRAD REF (1280),50,1.0,1.99
123,f31038,f2092,EXT.T.ELEFANTE 130GR,50,1.0,3.2
124,f66990,f12458895,AGUA SANIT.DA ILHA,50,1.0,7.5
125,f117081,f12366,"PAPEL ALUMINIO DIVINA MESA 45X7,5",50,1.0,7.5
126,f85723,f161,ABS.SYM ABAS C.SUAVE ROXO (ARA18),50,1.0,3.99
127,f1667,f354,ABS.SYM ABAS NOITE E DIA AZUL (ANA18),50,1.0,5.2
128,f430,f162,ABS.SYM ABAS C.SECA LARANJA(ASA18),50,1.0,3.99
129,f850,f2325,ABS.SYM ABAS C.SUAVE GIRL (AGA18),50,1.0,3.99
130,f3304,f5145,REMOVEDOR DE ESMALTE FARMAX (PROPANONA),50,1.0,4.5
131,f118165,f388,HASTES FLEX.COTTONBABY CARTUCHO,50,1.0,2.99
132,f122623,f2270,DROPS PASTILHA GAROTO HORTELA,50,1.0,0.99
133,f121285,f3510,LIMPADOR CONC.COALA CITRIODORA,50,1.0,13.5
134,f119325,f2631,ISQUEIRO BIC MINI L4P3 (NR.ONU-1057),50,4.0,2.99
135,f92223,f1088,COLA THREE BOND SUPER SM.,50,1.0,1.99
136,f46388,f197,COLA S.BONDER ORIGINAL,50,1.0,6.99
137,f94110,f580,MASSA GALO ESPAG.8 SEMOLA,50,1.0,8.99
138,f60984,f30,DETER.LIQ.YPE CLEAR,50,1.0,3.5
139,f54712,f443,DETER.LIQ.YPE NEUTRO,50,1.0,3.2
140,f3216,f1348,SACO LIXO LIMPS 50L,50,1.0,2.99
141,f116644,f3369,LUVA LATEX FORRADA (AM) SANRO TOP M,50,1.0,10.5
142,f120940,f6356,MAIONESE DIVINA MESA BISNAGA,50,1.0,3.2
143,f120965,f5447,ESPONJA ACO INOX LIMPS 8G,50,1.0,2.5
144,f118588,f7086,TORRADA ISABELA MULTIGRAOS,50,1.0,3.99
145,f118586,f72271,TORRADA ISABELA INTEGRAL,50,1.0,3.99
146,f123336,f210120221,BISC.ORQUIDEA TORTISSIMAS LIMAO,50,1.0,1.99
147,f123335,f2101222,BISC.ORQUIDEA TORTISSIMAS CHOCOLATE,50,1.0,1.99
148,f909,f1271,MAIONESE QUERO SACHE,50,1.0,2.2
149,f120271,f72594,MAIONESE QUERO POTE,50,1.0,6.99
150,f6692,f7298,MAIONESE LIZA TRAD.PET,50,1.0,5.99
151,f117670,f2008211,SAB.LIQ.PREMISSE CLASSIC ECO BLUE C/V,50,1.0,11.99
152,f119024,f7664,INSET.AERO.MAT INSET MULTI INSET GTS 33%,50,1.0,9.99
153,f119026,f4368,INSET.AERO.MAT INSET SEM CHEIRO GTS 33%,50,1.0,9.99
154,f122838,fgenerico,LUVA PLASTICA (CRISTAL) INOVEN (BUFFET),50,1.0,2.99
155,f46027,f5564,AM.BABY SOFT TOQUE CUIDADO BRANCO,50,1.0,7.2
156,f32301,f7747,AM.BABY SOFT TOQUE MACIEZ ROSA,50,1.0,7.2
157,f120534,f2601221,AROMA ARTIF.BAUNILHA MAVALERIO,50,1.0,3.5
158,f123203,f2601224,CAFE NESCAFE TRADICAO FORTE L300P250G LT,50,1.0,19.99
159,f123333,f2601223,BISC.ORQUIDEA TORTISSIMAS MORANGO,50,1.0,1.99
160,f123334,f2601222,BISC.ORQUIDEA TORTISSIMAS CHOC+LEITE,50,1.0,1.99
161,f119752,f5440,GELADINHO AMERICANO SORTIDO,50,0.025,8.99
162,f120880,f4369,INSET.ESPIRAL BOA NOITE ORIGINAL (CAIXA),50,1.0,3.99
163,f6965,f1338,COPO P.DIVINA MESA 180ML BCO.INMETRO,50,1.0,7.20
164,f33987,f72236,MILHO VERDE QUERO LT.,50,1.0,3.5
165,f123006,fgenerico,MASCARA DESC.NAYR TRIPLA C/50,50,1.0,29.5
166,f69337,f4352,INSET.AP.PAST.MAT INSET BI.+4 REFIL,50,1.0,18.5
167,f54747,f451,DETER.LIQ.YPE COCO,50,1.0,3.2
168,f971,f8024,LIMPADOR PERF.CASA&PF.BELA FLORE (VERDE),50,1.0,5.99
169,f121917,f72583,ALCOOL GEL LIMPS 70 GL (NR.ONU-117),50,1.0,10.5
170,f118729,f7501,MASSA D.BENTA LASANHA DIR.FORNO TRADIC.,50,1.0,3.2
171,f62758,f2991,SAL REFINADO DIANA,50,1.0,3.2
172,f30473,f03156,AP.B.PRESTOB.ULTRAGRIP AZUL,50,2.0,3.5
173,f119702,f2150,PALITO DIVINA MESA (BAMBU),50,1.0,0.99
174,f118755,f1202222,LUSTRA MOVEIS LIMPS LAVANDA,50,1.0,4.5
175,f118754,f1202223,LUSTRA MOVEIS LIMPS FLORAL,50,1.0,4.5
176,f122298,f6008,DESOD.SAN.PEDRA LIMPS EUCALIPTO,50,1.0,2.2
177,f36031,f5025,AM.BABY SOFT TOQUE SEDUTOR LILAS,50,1.0,7.2
178,f2510,f1310,MASSA INST.DIVINA MESA GALINHA,50,1.0,1.2
179,f60062,f7616,VELA IGUACU N.3 17GR,50,1.0,5.5
180,f2389,f2063,LEITE COND.PIRACANJUBA SEMIDESNATADO TP.,50,1.0,5.99
181,f37095,f2582,CR.D.COLGATE MPA ANTI-CARIE (90GR),50,1.0,4.99
182,f120028,f7497,ACUCAR DEMERARA CARAVELAS NATURAL,50,1.0,7.2
183,f121182,f2110211,TENYS PE BARUEL TALCO P\PES WOMAN (FEM.),50,1.0,9.5
184,f90948,f2318,CHA MATTE LEAO (GRANEL),50,1.0,10.20
185,f161,f467,P.H.CLASSY PLUS FS.NEUTRO (16X4),50,1.0,3.99
186,f116456,f155918,COADOR CAFE GALITOS PEQ.FLANELA CABO MAD,50,1.0,3.99
187,f53309,f2178,ERVA MATE REGINA,50,1.0,8.99
188,f120970,f144,FERMENTO ROYAL QMCO PO PT L12P11,50,1.0,3.2
189,f538,f3167,"GUARDANAPO DIVINA MESA 28CMX32,5CM",50,1.0,2.99
190,f122325,f1602225,DIFUSOR DE AROMAS COALA ESPECIARIAS,50,1.0,14.2
191,f122327,f1605222,DIFUSOR DE AROMAS COALA MANGA,50,1.0,14.2
192,f80519,f4389,CAFE MELITTA TRADICIONAL VACUO 250GR,50,1.0,12.5
193,f117669,f8016,SAB.LIQ.PREMISSE CLASSIC E.DOCE SOFT C/V,50,1.0,11.99
194,f116893,f5283,PAPEL CELOF.WYDA ROLO 5MX45CM,50,1.0,11.99
195,f4121,f2585,FOSF.PINHEIRO CX MADEIRA 40 PALITOS,50,1.0,4.2
196,f28371,f59463,FERMENTO D.BENTA FERMIX BIO INST ENV,50,1.0,0.99
197,f51810,f817,ARROZ BURITI PARBOILIZADO T-1,50,1.0,26.5
198,f118841,f8026,LIMPADOR PERF.CASA&PF.MIST.DI AMORE,50,1.0,5.99
199,f441,f2453,ABACAXI DIVINA MESA RODELAS,50,1.0,11.99
200,f79987,f3827,ABS.SYM COB.SUAVE S/ABAS VERDE (AVA18),50,1.0,3.99
201,f48488,f972,FAR.DE TRIGO ESP.ANACONDA,50,1.0,5.99
202,f116645,f3368,LUVA LATEX FORRADA (AM) SANRO TOP G,50,1.0,10.5
203,f121792,f6179,CAFE MELITTA EXTRA FORTE VACUO 250GR,50,1.0,12.99
204,f80421,f599,SARDINHA PESCADOR TOMATE (ABRE-FACIL),50,1.0,6.5
205,f32311,f5561,AM.BABY SOFT TOQUE ENVOLVENTE PRETO,50,1.0,7.2
206,f116594,fgenerico,CANUDO REFRIG.21CM SACHE STRAWPLAST,50,1.0,3.99
207,f117174,f5697,CORDA P/VARAL N.10 LIMPS TRANCADA,50,1.0,4.2
208,f121400,f2502221,AZEITONA VALE FERTIL FATIADA PTA DOY PAC,50,1.0,6.5
209,f119464,f4340,AZEITONA LA VIOLETERA C/C DOY PACK,50,1.0,4.5
210,f2017,f4440,CORDA P/VARAL N.5 LIMPS TRANCADA,50,1.0,1.99
211,f5703,f3884,NAFTALINA GALITOS,50,1.0,2.50
