,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f000000001000030733,f72397,LTE COCO MENINA VD 200ML,50,24,4.5
1,f000000001000033094,f547,CR LTE PIRACANJUBA TP 200G,50,27,4.99
2,f000000001000035592,f1608221,LTE COND GLORIA TP 395G,50,27,9.2
3,f000000001000070548,f1608222,LTE COND BAO DE MINAS TP 395G,50,27,7.5
4,f000000001000075770,f5195,AZEITONA VALE FERTIL VERDE FAT SCH 120G,50,24,5.5
5,f000000001000105642,f1608226,MOLHO QUERO TOMATE TRADICIONAL SCH 240G,50,28,1.99
6,f000000001000016999,f0809221,"BALAO S ROQUE CLASS T6,5 C/50 UN, VM, .",50,1,7.5
7,f000000001000021583,f0809226,"BALAO S ROQUE T07 50UN, PT EBANO, .",50,1,11.99
8,f000000001000031534,f1514,ARROZ BURITI PARB PCT 1KG,50,10,5.5
9,f000000001000032373,f3698,S C BEL PT 1KG (95334),50,12,23.2
10,f000000001000100421,f4915,"BALAO SAO ROQUE 6,5L BASIC C/25 PT UN",50,1,7.5
11,f000001000048223001,f2891,"BALAO S ROQUE CLASS T6,5 C/50 UN, RS, .",50,1,7.5
12,f000001000048223002,f5433,"BALAO S ROQUE CLASS T6,5 C/50 UN, BC, .",50,1,7.5
13,f000001000048223003,f2096,"BALAO S ROQUE CLASS T6,5 C/50 UN, AM, .",50,1,7.5
14,f000001000048223004,f0809224,"BALAO S ROQUE CLASS T6,5 C/50 UN, VE, .",50,1,7.5
15,f000001000048223005,f4899,"BALAO S ROQUE CLASS T6,5 C/50 UN, AZ, .",50,1,7.5
16,f000001000048223006,f0809225,"BALAO S ROQUE CLASS T6,5 C/50 UN, ST, .",50,1,7.5
17,f000001000048224002,f0809227,"BALAO S ROQUE T07 50UN, SORT IMP, .",50,1,11.99
18,f000001000048224004,f0809229,"BALAO S ROQUE T07 50UN, VM QUEN IMP, .",50,1,11.99
19,f000001000048224006,f0809228,"BALAO S ROQUE T07 50UN, AM CITR IMP, .",50,1,11.99
20,f000001000118629001,f08092210,"REFRESC TANG 18G, LJA, .",50,18,1.5
21,f000001000118629002,f08092211,"REFRESC TANG 18G, GUARANA, .",50,18,1.5
22,f000001000118629005,f08092212,"REFRESC TANG 18G, MARAC, .",50,18,1.5
23,f000001000118629013,f08092213,"REFRESC TANG 18G, UVA, .",50,18,1.5
24,f000000001000031488,f816,VINAGRE CHEMIM ALCOOL FC 900ML,50,12,2.5
25,f000000001000040137,f72369,"SUCO CAMPO LARGO UVA INTEG PET 1,35L",50,6,14.5
26,f000001000057148001,f941,"WAFER LACTA 20G, SONHO VALSA, .",50,50,1.5
27,f000001000057148002,f2430,WAFER LACTA OURO BRANCO 20G,50,50,1.5
28,f000001000048022002,f5113,"AMAC BABY SOFT 2L, TOQ DE CARINH AZ, .",50,6,8.99
29,f000001000083806002,f2810221,"AMAC COMFORT TRAD 1,8L, PURO CUID, .",50,6,22.2
30,f000001000083806003,f2810222,"AMAC COMFORT TRAD 1,8L, EXPLO AZ, .",50,6,22.2
31,f000000001000034052,f155231,AZEITE GALLO EXT VIRG VD 250ML,50,1,18.99
32,f000000001000108133,f1705221,AZEITE GALLO OLIVA PORT DIA A DIA 500ML,50,1,26.99
33,f000000001000032221,f29,AGUA SAN DA ILHA 1L,50,12,3.99
34,f000000001000030819,f4550,AMIDO MILHO MAIZENA CX 200G,50,10,4.5
35,f000000001000115959,f2306224,BISC SOL SALT PLUS ORIGINAL 360G,50,20,5.99
36,f000000001000119048,f2411221,COPO TOPFORM PLAST TRANSP C/100 180ML UN,50,25,7.5
37,f000000001000037828,f5440,GELADINHO AMERICANO PCT 40x55ML,50,6,13.5
38,f000000001000107333,f1409225,MOLHO QUERO TRADICIONAL SCH 300G,50,24,2.99
39,f000001000076732001,f0512221,"MILHO PREDILECTA, LT 170G, .",50,24,4.5
40,f000000001000106336,f0612221,ALCOOL LIQ BARBAREX 70% 1L,50,12,6.99
41,f000000001000065631,f4695,"BOMBOM LACTA FAVORITOS 250,6G",50,30,14.99
42,f000000001000084125,f5857,"BOMBOM NESTLE, ESPEC 251G, .",50,30,14.99
43,f000000001000037885,f353635,CHAMPIGNON DIVINO SABOR FATIADO SCH 80G,50,6,5.2
44,f000000001000078885,f6371,GELADAO AMERICANO C/20 100ML,50,120,0.99
45,f000000001000030785,f303,LA DE ACO BOMBRIL ECO 08UN PCT 60G,50,14,3.99
46,f000000001000107330,f0607226,MOLHO QUERO BOLONHESA SH 300G,50,24,3.5
47,f000001000087705006,f0812225,"SAB FLOR DE YPE 85G, AGUA COC/ALECRIM, .",50,12,2.5
48,f000001000087705004,f0812226,"SAB FLOR DE YPE 85G, FLOR BAU/AMENDOA, .",50,12,2.5
49,f000001000087705007,f0812227,"SAB FLOR DE YPE 85G, FLOR LJ/DAMASC, .",50,12,2.5
50,f000001000087705002,f0812228,"SAB FLOR DE YPE 85G, FLOR MAC/FRAMB, .",50,12,2.5
51,f000001000087705003,f0812229,"SAB FLOR DE YPE 85G, FRESIA/PESSEG, .",50,12,2.5
52,f000001000087705005,f08122210,"SAB FLOR DE YPE 85G, GARDENIA/ARGAN, .",50,12,2.5
53,f000001000087705001,f08122211,"SAB FLOR DE YPE 85G, ROSA BC/AVELA, .",50,12,2.5
54,f000000001000082400,f08122212,TOALHA R FLABOM LISA FELP 45X70CM UN,50,1,7.5
55,f000001000048648003,f6179,"CAFE MELITTA 250G, EXT FORTE, .",40,20,12.5
56,f000001000049524002,f2925,"FAROFA MAND PINDUCA 250G, PICANHA, .",50,12,5.99
57,f000001000049982008,f153318,"SAND HAVAIAN TRAD UN, PT, 33/4",50,6,20.5
58,f000001000049982009,f4154,"SAND HAVAIAN TRAD UN, PT, 35/6",50,6,20.5
59,f000000001000012565,f5567,"SAND HAVAIAN TRAD UN, PT, 37/8",50,6,20.5
60,f000001000049982010,f4661,"SAND HAVAIAN TRAD UN, PT, 39/0",50,6,20.5
61,f000001000049982011,f5638,"SAND HAVAIAN TRAD UN, PT, 41/2",50,6,20.5
62,f000000000000002101,f0009,MORTADELA PERDIGAO OURO BOLOGNA PEC KG,70,8,33.99
63,f000000001000031362,f4598,AZEITONA VALE FERTIL VDE C/C SCH 100G,50,24,2.99
64,f000000001000093872,f02223,"CHOC TRENTO 32G, AVELA, .",50,16,2.2
65,f000000001000040428,f72258,"CHOC TRENTO 32G, BRANCO, .",50,16,2.2
66,f000000001000040429,f0369899,"CHOC TRENTO 32G, DARK, .",50,16,2.2
67,f000000001000040430,f72274,"CHOC TRENTO 32G, TORTA LIM, .",50,16,2.2
