,Cod. Fornecedor,Cod. Prod,Nome,Margem,Quant. Frac,Pr. Venda
0,f55209,f72797,COCA COLA PET 2 L,35,6.0,9.2
1,f55459,f65,FANTA  SABORES,50,6.0,10.5
2,f55609,f67,COCA COLA VIDRO 1 L,20,12.0,3.99
3,f55380,f246,SCHWEPPES TONICA LATA 350 ML,50,6.0,3.99
4,f55781,f247,FANTA  PET 600ML,50,6.0,4.75
5,f56350,f693,SPRITE ORIGINAL LIMaO 600ML,50,6.0,5.99
6,f55460,f694,REFRIGERANTE MISTO DE UVA 2 L,50,6.0,10.5
7,f55404,f699,COCA  LATA ORIGINAL/ZERO,50,12.0,3.99
8,f55388,f701,COCA  LATA 350 ML ZERO/ORIGINAL,50,12.0,3.25
9,f56008,f703,FNTA LATA 350 ML,50,6.0,3.5
10,f55286,f920,FANTA UVA LATA 350 ML,50,6.0,3.99
11,f56312,f923,SCHWEPPES CITRS LATA 350 ML,50,6.0,3.99
12,f55935,f924,COCA COLA PET 600ML,50,6.0,5.99
13,f55934,f926,COCA COLA ZERO PET 600ML,50,6.0,5.99
14,f56271,f933,REFRIGERANTE DE LIMaO SPRITE 2 L,50,6.0,9.99
15,f118463,f1095,Monster energy lt 473 ml,50,6.0,9.5
16,f55569,f1187,COCA COLA ZERO PET 2 L,35,6.0,10.99
17,f56102,f1192,FANTA LARANJA 600ML,50,6.0,5.99
18,f118102,f1660,KAPO MARACUJA 200 ML,50,12.0,2.2
19,f118104,f1662,KAPO MORANGO 200 ML,50,12.0,2.99
20,f118106,f1663,KAPO SABOR UVA 200 ML,50,12.0,2.99
21,f55993,f2343,COCA    PET,50,6.0,7.2
22,f119026,f2426,ENERGETICO MONSTER ULTRA VIOLETA,50,6.0,9.2
23,f118100,f2775,KAPO SABOR LARANJA 200 ML,50,12.0,2.99
24,f56269,f3479,SPRITE LT 350 ML,50,6.0,3.99
25,f56074,f4884,Fanta guarana lata 350 ml,50,12.0,2.99
26,f56071,f4904,Fanta guarana  2 l,50,6.0,9.99
27,f118990,f5255,MONSTER ENERY JUICE,50,6.0,9.5
28,f118269,f6111,INOVE POWERRADE 500 ML UVA VERDE,50,,4.99
29,f55342,f6539,FANTA RETORNAVEL 2L,50,9.0,5.99
30,f56326,f6815,coca retornavel zero,20,9.0,6.99
31,f118753,f6990,DEL VALE FRESH LARANJA UVA 1.5 L,50,6.0,5.5
32,f56287,f7068,COCA  CAF 220ML,50,6.0,2.5
33,f55918,f7114,COCA COLA PET 200ML,50,12.0,2.0
34,f55919,f7127,Coca pet 200 ml zero,50,12.0,2.0
35,f56443,f7127,Coca pet 200 ml zero,50,12.0,2.2
36,f56298,f7127,Coca pet 200 ml zero,50,12.0,2.2
37,f118759,f7197,cha mate leao 1.5,50,6.0,8.5
38,f56010,f7596,KUAT 350 ML,50,6.0,3.5
39,f55477,f7781,GUARAN KUAT 2 LITROS,50,6.0,8.99
40,f56314,f8055,SCHWEPPES 1.5 L,50,6.0,10.5
41,f118461,f72309,MONSTER ENERGY ULTRA 473 ML,50,6.0,9.5
42,f119002,f72316,DV FRESH SABOR UVA 1.5 L,50,6.0,5.2
43,f119068,f107215,DEL VALE KAPO MAcA 200ML,50,6.0,2.1
44,f55732,f208211,REFRIGERANTE SPRITE ZERO 2L,50,6.0,6.99
45,f118952,f2207211,SUCO SEED AMENDOAS 1L,50,6.0,14.99
46,f119145,f2405211,SUCO DE SOJA ADES 1L,50,6.0,7.2
47,f119149,f2405212,SUCO DE SOJA ADES 1L,50,6.0,7.2
48,f56366,f2705211,FANTA LARANJA 2L RETOPRNVEL,20,9.0,6.2
49,f119167,f2810214,DV ABACAXI 1L,50,6.0,8.5
